Topics,Alpha,Beta,Coherence
11,symmetric,symmetric,0.2794232537452452
11,asymmetric,0.01,0.2745170405691798
11,asymmetric,0.31,0.33509411965228497
11,asymmetric,0.61,0.33280047774397814
11,asymmetric,symmetric,0.27369567456963617
12,0.01,0.01,0.27513116825577055
12,0.01,0.31,0.25159384635867904
12,0.01,0.61,0.28092529952402356
12,0.01,symmetric,0.2721593642331716
12,0.31,0.01,0.26941660312169663
12,0.31,0.31,0.2675425748834163
12,0.31,0.61,0.29422434980940176
12,0.31,symmetric,0.2692659628815906
12,0.61,0.01,0.2869810501624903
12,0.61,0.31,0.2903137472344277
12,0.61,0.61,0.30196746570515287
12,0.61,symmetric,0.27775550813655653
12,symmetric,0.01,0.27610139239147885
12,symmetric,0.31,0.2658045056022413
12,symmetric,0.61,0.3032611060521128
12,symmetric,symmetric,0.28023100403502627
12,asymmetric,0.01,0.28435848058824525
12,asymmetric,0.31,0.3438513473184545
12,asymmetric,0.61,0.3367885132682667
12,asymmetric,symmetric,0.28879951425482747
13,0.01,0.01,0.2726491231636702
13,0.01,0.31,0.275695324104105
13,0.01,0.61,0.2725121150238143
13,0.01,symmetric,0.27836371732104653
13,0.31,0.01,0.2736996522906805
13,0.31,0.31,0.2845254065784643
13,0.31,0.61,0.25512756869487224
13,0.31,symmetric,0.26452458054871514
13,0.61,0.01,0.28212467157312526
13,0.61,0.31,0.2882097853639115
13,0.61,0.61,0.2815015017999353
13,0.61,symmetric,0.27410030800331003
13,symmetric,0.01,0.2830638296817998
13,symmetric,0.31,0.2805506535628216
13,symmetric,0.61,0.3444602548401521
13,symmetric,symmetric,0.26963341157295406
13,asymmetric,0.01,0.2813875199122056
13,asymmetric,0.31,0.2600178859494939
13,asymmetric,0.61,0.3092290952640362
13,asymmetric,symmetric,0.2902866030548386
14,0.01,0.01,0.27531019659063205
14,0.01,0.31,0.27759810409118846
14,0.01,0.61,0.3105362052644581
14,0.01,symmetric,0.2857763936586334
14,0.31,0.01,0.2777920203474603
14,0.31,0.31,0.30924875998960083
14,0.31,0.61,0.267903386799572
14,0.31,symmetric,0.2879749619527579
14,0.61,0.01,0.2820098129070338
14,0.61,0.31,0.3226286116097605
14,0.61,0.61,0.35303906475811303
14,0.61,symmetric,0.27917477606354035
14,symmetric,0.01,0.2808515757418147
14,symmetric,0.31,0.3015865628208382
14,symmetric,0.61,0.31354639121074784
14,symmetric,symmetric,0.2822612230431503
14,asymmetric,0.01,0.2783369972017578
14,asymmetric,0.31,0.3117802060477609
14,asymmetric,0.61,0.35223502068340007
14,asymmetric,symmetric,0.27176130282718286
