Topics,Alpha,Beta,Coherence
8,0.01,symmetric,0.29395173584905154
8,0.31,0.01,0.2778932063401449
8,0.31,0.31,0.2910976539944456
8,0.31,0.61,0.30827424182887514
8,0.31,symmetric,0.281989734737711
8,0.61,0.01,0.27962968470311533
8,0.61,0.31,0.3080592641212018
8,0.61,0.61,0.29273517306875696
8,0.61,symmetric,0.31579958292433696
8,symmetric,0.01,0.3080652344252829
8,symmetric,0.31,0.3019840921475253
8,symmetric,0.61,0.2859344424659622
8,symmetric,symmetric,0.29453852409813197
8,asymmetric,0.01,0.30384851946387037
8,asymmetric,0.31,0.31159588371001634
8,asymmetric,0.61,0.3243587852000752
8,asymmetric,symmetric,0.30915086482703735
9,0.01,0.01,0.26561148599719364
9,0.01,0.31,0.28171264345380137
9,0.01,0.61,0.30486225590350624
9,0.01,symmetric,0.2745552303216453
9,0.31,0.01,0.2736639157612682
9,0.31,0.31,0.2845091578015351
9,0.31,0.61,0.309881567085829
9,0.31,symmetric,0.2878970376899763
9,0.61,0.01,0.2989343997130252
9,0.61,0.31,0.3104210159058419
9,0.61,0.61,0.33036493223277485
9,0.61,symmetric,0.32638998597197655
9,symmetric,0.01,0.2664530778099633
9,symmetric,0.31,0.2849068606079719
9,symmetric,0.61,0.29340602279458783
9,symmetric,symmetric,0.2914628878545529
9,asymmetric,0.01,0.2894572557126625
9,asymmetric,0.31,0.3052799013340119
9,asymmetric,0.61,0.2878881298152004
9,asymmetric,symmetric,0.2844225457492106
10,0.01,0.01,0.27532692011894555
10,0.01,0.31,0.2918384565115494
10,0.01,0.61,0.28701606150066133
10,0.01,symmetric,0.279382206381445
10,0.31,0.01,0.27564964503514344
10,0.31,0.31,0.28405211460433955
10,0.31,0.61,0.3160285295236496
10,0.31,symmetric,0.2843003800710258
10,0.61,0.01,0.27603978404013746
10,0.61,0.31,0.2742827582539388
10,0.61,0.61,0.33646928919139163
10,0.61,symmetric,0.2925313564440402
10,symmetric,0.01,0.2840018487825643
10,symmetric,0.31,0.29027269050290266
10,symmetric,0.61,0.30040549479173223
10,symmetric,symmetric,0.2924586527908821
10,asymmetric,0.01,0.28776039971765166
10,asymmetric,0.31,0.29486317160914804
10,asymmetric,0.61,0.32321648943254194
10,asymmetric,symmetric,0.2965523934583653
11,0.01,0.01,0.26369362103546207
11,0.01,0.31,0.2826192713672678
11,0.01,0.61,0.3097651968117789
11,0.01,symmetric,0.2670014290537941
11,0.31,0.01,0.2930547622199462
11,0.31,0.31,0.29938660814658435
11,0.31,0.61,0.31634312428929684
11,0.31,symmetric,0.2713380740914647
11,0.61,0.01,0.259033368909918
11,0.61,0.31,0.278380119703852
11,0.61,0.61,0.331232589877251
11,0.61,symmetric,0.2680769806853144
11,symmetric,0.01,0.26701534362725243
11,symmetric,0.31,0.2742967077912549
11,symmetric,0.61,0.29417951621196314
11,symmetric,symmetric,0.27176465291622937
11,asymmetric,0.01,0.283127537124415
11,asymmetric,0.31,0.29184370292138145
11,asymmetric,0.61,0.3489721009164937
11,asymmetric,symmetric,0.2867721894594888
12,0.01,0.01,0.2979350784091786
12,0.01,0.31,0.30895180639337383
12,0.01,0.61,0.30938265794549413
12,0.01,symmetric,0.2838671229560617
12,0.31,0.01,0.3010680050785811
12,0.31,0.31,0.2849491498937723
12,0.31,0.61,0.32779204364542175
12,0.31,symmetric,0.28419950467601723
12,0.61,0.01,0.2762868474840229
12,0.61,0.31,0.2971994817242012
12,0.61,0.61,0.39420126330848265
12,0.61,symmetric,0.2813286480718417
12,symmetric,0.01,0.2886184295651125
12,symmetric,0.31,0.2879355637390978
12,symmetric,0.61,0.2926510346271433
12,symmetric,symmetric,0.28569975048011337
12,asymmetric,0.01,0.3029935729060617
12,asymmetric,0.31,0.30977422765484125
12,asymmetric,0.61,0.3627984907401241
12,asymmetric,symmetric,0.2766235096433663
13,0.01,0.01,0.24759037466675743
13,0.01,0.31,0.24977993508233778
13,0.01,0.61,0.3142589850942941
13,0.01,symmetric,0.2513548399444882
13,0.31,0.01,0.2691971013758537
13,0.31,0.31,0.30973462125500095
13,0.31,0.61,0.35847433116023847
13,0.31,symmetric,0.2700251317231095
13,0.61,0.01,0.2570808518649356
13,0.61,0.31,0.30221371542587006
13,0.61,0.61,0.4632506040995948
13,0.61,symmetric,0.2516224247335
13,symmetric,0.01,0.24237419393132514
13,symmetric,0.31,0.25052489782618614
13,symmetric,0.61,0.3114595647922306
13,symmetric,symmetric,0.2438644850298865
13,asymmetric,0.01,0.28240693133242895
13,asymmetric,0.31,0.31308313130991144
13,asymmetric,0.61,0.44631909655826496
13,asymmetric,symmetric,0.27619032875252997
14,0.01,0.01,0.27504180201040285
14,0.01,0.31,0.29816789954857276
14,0.01,0.61,0.3628541887834101
14,0.01,symmetric,0.26232386778367833
14,0.31,0.01,0.26191751174887384
14,0.31,0.31,0.3289732451559671
14,0.31,0.61,0.4305557221682001
14,0.31,symmetric,0.2645818047946014
14,0.61,0.01,0.25789407482107723
14,0.61,0.31,0.33644737264022906
14,0.61,0.61,0.4740202870206388
14,0.61,symmetric,0.25592616645364197
14,symmetric,0.01,0.26909432406838835
14,symmetric,0.31,0.3019461270712854
14,symmetric,0.61,0.3726416811819155
14,symmetric,symmetric,0.26860157222112824
14,asymmetric,0.01,0.2792820790650231
14,asymmetric,0.31,0.3335309947117683
14,asymmetric,0.61,0.36776388689892314
14,asymmetric,symmetric,0.2775009195771976
