Topics,Alpha,Beta,Coherence
14,0.01,0.31,0.3349340587234246
14,0.01,0.61,0.3936857449935071
14,0.01,symmetric,0.3173510393821796
14,0.31,0.01,0.32705838511390006
14,0.31,0.31,0.35341185625073407
14,0.31,0.61,0.36156487924699526
14,0.31,symmetric,0.32130324799033755
14,0.61,0.01,0.3290624619622314
14,0.61,0.31,0.3340356476454921
14,0.61,0.61,0.3679999629636977
14,0.61,symmetric,0.31914624299573296
14,symmetric,0.01,0.3269081913898724
14,symmetric,0.31,0.33673053838655415
14,symmetric,0.61,0.36290830602508345
14,symmetric,symmetric,0.3244690128720307
14,asymmetric,0.01,0.33759513796615864
14,asymmetric,0.31,0.33714412687563594
14,asymmetric,0.61,0.3773711860058246
14,asymmetric,symmetric,0.3388018541262711
