Topics,Alpha,Beta,Coherence
10,asymmetric,symmetric,0.31175248433138936
11,0.01,0.01,0.3368533751925821
11,0.01,0.31,0.3590422445462929
11,0.01,0.61,0.354629347128184
11,0.01,symmetric,0.32103329643239903
11,0.31,0.01,0.3240960977133364
11,0.31,0.31,0.3505493746737895
11,0.31,0.61,0.39572999967445727
11,0.31,symmetric,0.325863976856951
11,0.61,0.01,0.31792725556235435
11,0.61,0.31,0.3137690408252322
11,0.61,0.61,0.4045525493027467
11,0.61,symmetric,0.3262110309014408
11,symmetric,0.01,0.32420953539736574
11,symmetric,0.31,0.3161836265061239
11,symmetric,0.61,0.351589942879494
11,symmetric,symmetric,0.31737451545938494
11,asymmetric,0.01,0.33478494674941495
11,asymmetric,0.31,0.37658894755547156
11,asymmetric,0.61,0.39452705744162325
11,asymmetric,symmetric,0.32467622108503613
12,0.01,0.01,0.34236545739170204
12,0.01,0.31,0.33244157623707404
12,0.01,0.61,0.374649518621261
12,0.01,symmetric,0.33190798249721204
12,0.31,0.01,0.32765649245873174
12,0.31,0.31,0.3641635382481794
12,0.31,0.61,0.39150667113442217
12,0.31,symmetric,0.3385019835512077
12,0.61,0.01,0.31974452646890056
12,0.61,0.31,0.3577551186922465
12,0.61,0.61,0.3496067684100291
12,0.61,symmetric,0.3150204786286111
12,symmetric,0.01,0.33086519348632076
12,symmetric,0.31,0.3495201880700361
12,symmetric,0.61,0.36543389108232777
12,symmetric,symmetric,0.3360162566184779
12,asymmetric,0.01,0.3365831205202421
12,asymmetric,0.31,0.40240022744688436
12,asymmetric,0.61,0.4189318226751151
12,asymmetric,symmetric,0.33712897802634156
13,0.01,0.01,0.32601698856737094
13,0.01,0.31,0.33820895461937456
13,0.01,0.61,0.3638035128738429
13,0.01,symmetric,0.3173867991195229
13,0.31,0.01,0.3068905404676034
13,0.31,0.31,0.3649003209171975
13,0.31,0.61,0.40540224547273584
13,0.31,symmetric,0.33190628609527434
13,0.61,0.01,0.3159289681320454
13,0.61,0.31,0.3688275744447168
13,0.61,0.61,0.4365312253297332
13,0.61,symmetric,0.3180017804408936
13,symmetric,0.01,0.3250152086800222
13,symmetric,0.31,0.3699373070627207
13,symmetric,0.61,0.3598272531040505
13,symmetric,symmetric,0.3337270824465067
13,asymmetric,0.01,0.3055086358359179
13,asymmetric,0.31,0.40682631031984495
13,asymmetric,0.61,0.38823717750482106
13,asymmetric,symmetric,0.3314169520158884
14,0.01,0.01,0.3339711392518945
14,0.01,0.31,0.37244670124790014
14,0.01,0.61,0.39701254057024454
14,0.01,symmetric,0.3380449913251803
14,0.31,0.01,0.3155998122807164
14,0.31,0.31,0.3830182121202544
14,0.31,0.61,0.3993482960812816
14,0.31,symmetric,0.3304033241767997
14,0.61,0.01,0.30926136979754115
14,0.61,0.31,0.35086870732734915
14,0.61,0.61,0.4401329037984368
14,0.61,symmetric,0.31289754028609246
14,symmetric,0.01,0.32547474313313574
14,symmetric,0.31,0.38620388930462857
14,symmetric,0.61,0.41186927779142707
14,symmetric,symmetric,0.32923309746341184
14,asymmetric,0.01,0.32627948663562306
14,asymmetric,0.31,0.3937575180480669
14,asymmetric,0.61,0.375633912880295
14,asymmetric,symmetric,0.3425194440865334
