Topics,Alpha,Beta,Coherence
7,symmetric,0.31,0.3947863606866818
7,symmetric,0.61,0.3872074957488384
7,symmetric,symmetric,0.39052361680516423
7,asymmetric,0.01,0.4062653220462655
7,asymmetric,0.31,0.5196719406526044
7,asymmetric,0.61,0.4896168807485668
7,asymmetric,symmetric,0.450613616354128
8,0.01,0.01,0.41055178782249846
8,0.01,0.31,0.40120524212779696
8,0.01,0.61,0.3974048872980701
8,0.01,symmetric,0.40644793598702644
8,0.31,0.01,0.41877868758445824
8,0.31,0.31,0.4237735257358529
8,0.31,0.61,0.41879362236328516
8,0.31,symmetric,0.42019422683130103
8,0.61,0.01,0.42854303460281773
8,0.61,0.31,0.41468543184946216
8,0.61,0.61,0.4126718897114564
8,0.61,symmetric,0.4014243692380344
8,symmetric,0.01,0.41386596725298985
8,symmetric,0.31,0.42603773074540613
8,symmetric,0.61,0.4101902287233483
8,symmetric,symmetric,0.4049252096828393
8,asymmetric,0.01,0.42409142860948523
8,asymmetric,0.31,0.4732831694481501
8,asymmetric,0.61,0.48149081138349814
8,asymmetric,symmetric,0.45923859660702093
9,0.01,0.01,0.42316434902192895
9,0.01,0.31,0.39953580354592666
9,0.01,0.61,0.4364426251117918
9,0.01,symmetric,0.40761066625143855
9,0.31,0.01,0.39332251876252955
9,0.31,0.31,0.4195338043804464
9,0.31,0.61,0.4009540262405779
9,0.31,symmetric,0.38641419676473676
9,0.61,0.01,0.40420047918286633
9,0.61,0.31,0.41416030456587094
9,0.61,0.61,0.38612525254435004
9,0.61,symmetric,0.4028772878140474
9,symmetric,0.01,0.42488531053461925
9,symmetric,0.31,0.4343809418016551
9,symmetric,0.61,0.41782565991925585
9,symmetric,symmetric,0.39438077039404185
9,asymmetric,0.01,0.4110600853768182
9,asymmetric,0.31,0.42392683153404165
9,asymmetric,0.61,0.463137835911376
9,asymmetric,symmetric,0.43571154894099434
10,0.01,0.01,0.366843817702796
10,0.01,0.31,0.432319872754862
10,0.01,0.61,0.44412102547683296
10,0.01,symmetric,0.39732938780815025
10,0.31,0.01,0.3704778583640829
10,0.31,0.31,0.3794163792855971
10,0.31,0.61,0.37901248758483064
10,0.31,symmetric,0.37373788588837786
10,0.61,0.01,0.3873562217793748
10,0.61,0.31,0.4035105493108938
10,0.61,0.61,0.4097303640983266
10,0.61,symmetric,0.38235984374076204
10,symmetric,0.01,0.38017991490761294
10,symmetric,0.31,0.43584998848879836
10,symmetric,0.61,0.43175361051646693
10,symmetric,symmetric,0.3785360221676174
10,asymmetric,0.01,0.3823939491250773
10,asymmetric,0.31,0.4678986039871953
10,asymmetric,0.61,0.46686603314715747
10,asymmetric,symmetric,0.42180930732393984
11,0.01,0.01,0.4020698416968642
11,0.01,0.31,0.4088376074872438
11,0.01,0.61,0.4059134445548244
11,0.01,symmetric,0.37880419836648876
11,0.31,0.01,0.3741940651469991
11,0.31,0.31,0.39728206972439906
11,0.31,0.61,0.3745366731724019
11,0.31,symmetric,0.36363435262210536
11,0.61,0.01,0.36764148281376274
11,0.61,0.31,0.38909961079350947
11,0.61,0.61,0.3840342643069495
11,0.61,symmetric,0.3677605033107916
11,symmetric,0.01,0.381320040137609
11,symmetric,0.31,0.3980792277589265
11,symmetric,0.61,0.3968727890059666
11,symmetric,symmetric,0.38106976873978127
11,asymmetric,0.01,0.34531089747658333
11,asymmetric,0.31,0.5116179475686962
11,asymmetric,0.61,0.5462895306891643
11,asymmetric,symmetric,0.40464677778167035
12,0.01,0.01,0.37149983736602654
12,0.01,0.31,0.377361852237232
12,0.01,0.61,0.3978041543219351
12,0.01,symmetric,0.37040775706952317
12,0.31,0.01,0.3535413261922073
12,0.31,0.31,0.37387597292939495
12,0.31,0.61,0.39762420565399276
12,0.31,symmetric,0.36569019288761034
12,0.61,0.01,0.3574509965478763
12,0.61,0.31,0.37858687558814297
12,0.61,0.61,0.38515928702686336
12,0.61,symmetric,0.3697855987310666
12,symmetric,0.01,0.3848727353179863
12,symmetric,0.31,0.40034717867228825
12,symmetric,0.61,0.38369127382856827
12,symmetric,symmetric,0.37178542584076396
12,asymmetric,0.01,0.3709026258973489
12,asymmetric,0.31,0.5118186277840343
12,asymmetric,0.61,0.5166816718472684
12,asymmetric,symmetric,0.41533139698523414
